Title,IMDB Rating,IMDB Votes,US Gross,Worldwide Gross,Production Budget
Madison,6.40,536,517262,517262,14000000
Prefontaine,6.20,2580,590817,590817,8000000
Trekkies,6.90,3004,617172,617172,375000
Inside Deep Throat,6.90,3264,691880,691880,2000000
Without Limits,6.90,3369,780326,780326,25000000
Princess Kaiulani,5.30,224,883454,883454,9000000
Joyeux NoÎl,7.80,9363,1054361,1054361,22000000
Wonderland,6.60,11966,1060512,1060512,5500000
In the Shadow of the Moon,8.00,2974,1134358,1134358,2000000
Tarnation,7.10,3847,592014,1162014,218
Saints and Soldiers,7.00,7581,1310470,1310470,780000
No End In Sight,8.30,4086,1433319,1433319,2000000
It's All Gone Pete Tong,7.30,7631,120620,1470620,2000000
Factory Girl,6.10,8680,1661464,1661464,7000000
Murderball,7.80,5699,1531154,1722277,350000
Find Me Guilty,7.10,12800,1173673,1788077,13000000
Tumbleweeds,6.40,2152,1350248,1788168,312000
Beyond the Mat,7.20,4067,2047570,2047570,500000
Jefferson in Paris,5.60,1464,2461628,2461628,14000000
Shattered Glass,7.40,14575,2207975,2932719,6000000
Basquiat,6.70,7935,2962051,2962051,3000000
Gracie,6.20,2084,2956339,3036736,9000000
Wordplay,7.40,2222,3121270,3177636,500000
Riding Giants,7.70,2193,2276368,3216111,2600000
Zwartboek,8.00,27288,4398392,4398392,22000000
Rize,6.80,2052,3278611,4462763,700000
Slums of Beverly Hills,6.40,5821,5502773,5502773,5000000
The Children of Huang Shi,6.90,4100,1031872,5527507,20000000
Get on the Bus,6.70,2701,5691854,5691854,2400000
Catch a Fire,6.80,5959,4299773,5699773,14000000
The Straight Story,8.00,36265,6197866,6197866,10000000
Topsy Turvy,7.10,6215,6201757,6201757,20000000
Against the Ropes,5.20,3547,5881504,6429865,39000000
Rescue Dawn,7.50,37764,5490423,7037886,10000000
Beyond the Sea,6.60,8002,6144806,7061637,24000000
The Hoax,6.90,9171,7164995,7164995,25000000
Cadillac Records,6.70,5026,8138000,8138000,12000000
Mad Hot Ballroom,7.40,2562,8117961,9079042,500000
Veronica Guerin,6.80,8778,1569918,9438074,17000000
Bright Star,7.10,5957,4444637,9469105,8500000
White Squall,6.40,8385,10229300,10229300,38000000
The Newton Boys,5.70,4443,10341093,10341093,27000000
The Night Listener,5.90,8437,7836393,10547755,4000000
Pollock,7.10,9669,8596914,10557291,6000000
The Young Victoria,7.20,8408,11001272,11001272,35000000
The Squid and the Whale,7.60,23521,7372734,11098131,1500000
Stop-Loss,6.50,9268,10915744,11179472,25000000
I'm Not There,7.10,23078,4017609,11498547,20000000
Hoop Dreams,8.00,9492,7768371,11768371,700000
Extraordinary Measures,6.40,3770,12482741,12697741,31000000
Kinsey,7.20,20135,10214647,13000959,11000000
Ghosts of Mississippi,6.40,5276,13052741,13052741,36000000
Religulous,7.80,23094,13011160,13136074,2500000
Tea with Mussolini,6.70,5435,14395874,14395874,14000000
Capitalism: A Love Story,7.30,11829,14363397,14678228,20000000
Flyboys,6.50,13934,13090630,14816379,60000000
The World's Fastest Indian,7.90,19687,5128124,16509706,25000000
Domino,5.90,32560,10169202,17759202,50000000
De-Lovely,6.50,6086,13337299,18396382,4000000
Michael Jordan to the MAX,7.20,746,18642318,18642318,7000000
Martin Lawrence Live: RunTelDat,4.90,1166,19184820,19184820,3000000
Summer of Sam,6.50,18431,19288130,19288130,22000000
Die F‰lscher,7.60,16525,5488570,19416495,6250000
Bobby,7.10,23262,11242801,20597806,14000000
U2 3D,8.30,2090,10363341,22664070,15000000
Antwone Fisher,7.30,13258,21078145,23367586,12500000
Raging Bull,8.40,90015,23380203,23380203,18000000
North Country,7.20,16497,18324242,23624242,30000000
The Alamo,5.90,10063,22406362,23911362,92000000
In the Valley of Elah,7.40,27529,6777741,24489150,23000000
Wyatt Earp,6.40,15614,25052000,25052000,63000000
Michael Collins,6.90,11805,11092559,27572844,25000000
Wolf Creek,6.30,22594,16186348,27649774,1100000
Luther,6.80,5909,5781086,29465190,35000000
Super Size Me,7.60,33805,11529368,29529368,65000
Riding in Cars with Boys,6.20,11895,29781453,29781453,47000000
The Great Debaters,7.60,14530,30226144,30226144,15000000
Rob Roy,6.80,15630,31390587,31390587,28000000
Sicko,8.20,40886,24538513,33538513,9000000
Nixon,7.10,13761,13668249,34668249,45000000
Miss Potter,7.10,10236,3005605,35025861,30000000
Selena,6.30,7996,35450113,35450113,20000000
Shine,7.60,22439,35811509,35811509,5500000
Becoming Jane,7.00,15167,18663911,37304637,16500000
The Original Kings of Comedy,6.20,3258,38168022,38236338,3000000
The Soloist,6.70,14257,31720158,38286958,60000000
The Ghost and the Darkness,6.60,19735,38564422,38564422,55000000
Mar adentro,7.20,466,2086345,39686345,13300000
Gridiron Gang,6.80,12400,38432823,41480851,30000000
Amistad,7.10,28477,44212592,44212592,40000000
Notorious,6.30,9811,36842118,44473591,19000000
Capote,7.60,41472,28750530,46309352,7000000
Man on the Moon,7.40,49481,34580635,47407635,52000000
Coco avant Chanel,6.50,6720,6113834,48846765,23000000
Milk,3.60,479,31841299,50164027,20000000
Fargo,8.30,165159,24567751,51204567,7000000
Radio,6.90,12070,52333738,53293628,35000000
Good Night and Good Luck,7.70,42797,31501218,54601218,7000000
Donnie Brasco,7.70,65462,41954997,55954997,35000000
Frida,7.30,26243,25885000,56298474,12000000
Tombstone,7.70,43688,56505000,56505000,25000000
Monster,7.40,39908,34469210,58003694,5000000
Bowling for Columbine,8.20,76928,21576018,58576018,3000000
The Bank Job,7.50,50848,30060660,63060660,20000000
The Miracle,6.10,126,64378093,64445708,28000000
August Rush,7.50,28650,31664162,65627510,25000000
Take the Lead,6.50,10015,34742066,65742066,30000000
Thirteen Days,7.30,23578,34566746,66554547,80000000
Letters from Iwo Jima,8.10,56872,13756082,68756082,13000000
Oceans,7.60,1429,19422319,72965951,80000000
The Hurricane,7.40,32172,50699241,73956241,38000000
United 93,7.80,46691,31567134,76366864,18000000
Elizabeth,7.60,33773,30082699,82150642,25000000
Men of Honor,6.80,30630,48814909,82339483,32000000
Dead Man Walking,7.60,32159,39387284,83088295,11000000
La MÙme,7.60,21412,10299782,83499782,15500000
Ali,6.60,31785,58183966,84383966,109000000
Downfall,6.10,404,5501940,92101940,13500000
Enemy at the Gates,7.40,59916,51396781,96971293,85000000
Cinderella Man,8.00,63111,61649911,108539911,88000000
